武將编号,武將,容貌,性別,生年,登場年,仕官年,卒年,死因,相性,势力,军团,所属,所在,身份,官职,忠诚,lp12A,统率,武力,智力,政治,魅力,伤病,主义,政策,政策等级,声音,语调,lp117,配偶,義兄,血缘,父亲,母亲,世代
1000,卢植,200,男,139,184,190,192,0,75,曹操,曹操,濮阳,濮阳,普通,师友从事,100,,86,63,82,85,86,健康,王道,经世济民,2,威严男,威严男,0,,,卢植,,,1
92,贾诩,42,男,147,184,186,223,0,20,董卓,董卓,长安,长安,太守,少府,100,,86,48,100,86,57,健康,割据,上兵伐谋,2,策士男,策士男,38,,,贾诩,,,1
16,于禁,76,男,159,184,199,221,0,22,曹操,曹操,许昌,许昌,普通,荡寇将军,100,,86,78,72,57,56,健康,霸道,军制改革,4,威严男,威严男,0,,,于禁,,,1
812,文丑,11,男,161,184,189,200,1,102,袁绍,袁绍,蓟,蓟,普通,讨逆将军,100,,86,94,25,25,40,健康,我道,强化锋矢,5,粗鲁男,粗鲁男,80,,,文丑,,,1
1219,乌桓元帅,1016,男,165,350,0,263,0,0,,,,,未登场,无,0,,86,91,64,60,79,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,乌桓元帅,,,0
656,张飞,1,男,167,184,184,221,1,75,刘备,刘备,汉中,汉中,普通,安西将军,255,,86,98,33,24,44,健康,我道,强化锋矢,5,张飞,张飞,15,,刘备,张飞,,,1
1066,忽必烈,975,男,170,184,0,268,0,140,,,,,死亡,无,0,,86,75,90,95,86,健康,霸道,文事武备,3,自大男,自大男,0,,,成吉思汗,,,0
752,杜预,191,男,222,241,0,284,0,32,,,长安,长安,未登场,无,0,,86,30,85,80,81,健康,王道,强化鹤翼,4,恭敬男,恭敬男,0,,,杜畿,,,3
703,程普,161,男,151,184,184,216,0,126,孙坚,孙坚,长沙,长沙,太守,从事祭酒,120,,85,79,80,74,86,健康,王道,军制改革,4,威严男,威严男,53,,,程普,,,1
266,公孙瓒,38,男,152,184,200,199,1,65,袁绍,袁绍,蓟,蓟,普通,虎威将军,100,,85,83,71,46,77,健康,霸道,工法改革,4,威严男,威严男,84,侯氏,,公孙瓒,,,1
1261,山越头目,1019,男,165,184,0,263,0,0,山越头目,山越头目,山越,山越,君主,无,250,,85,93,63,58,78,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,山越头目,,,0
1281,南中大王,1013,男,165,184,0,263,0,0,南中大王,南中大王,南中,南中,君主,无,250,,85,90,63,58,83,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,南中大王,,,0
637,张任,218,男,169,188,190,214,1,56,刘备,张任,云南,云南,都督,平南将军,100,,85,84,76,60,76,健康,割据,地势研究,5,勇将男,勇将男,85,,,张任,,,1
842,满宠,166,男,170,189,199,242,0,29,曹操,曹操,濮阳,濮阳,普通,部郡从事,100,,85,64,82,84,81,健康,霸道,工法改革,4,威严男,威严男,42,,,满宠,,,1
1001,英布,900,男,170,184,0,268,1,100,,,,,死亡,无,0,,85,96,55,31,42,健康,我道,强化锋矢,6,粗鲁男,粗鲁男,0,,,英布,,,0
1020,蒙恬,934,男,170,184,0,268,1,25,,,,,死亡,无,0,,85,79,70,75,83,健康,霸道,扩张城墙,6,威严男,威严男,0,,,蒙恬,,,0
1060,太原雪斋,983,男,170,184,0,268,0,101,,,,,死亡,无,0,,85,50,96,97,82,健康,王道,经世济民,3,恭敬男,恭敬男,0,,,太原雪斋,,,0
381,朱桓,124,男,177,196,196,238,0,128,张超,张超,寿春,寿春,普通,荡寇将军,100,,85,82,74,56,59,健康,我道,强化鱼鳞,4,自大男,自大男,0,,,朱桓,,,1
446,徐庶,39,男,178,206,0,232,0,75,刘备,刘备,永安,永安,普通,尚书令,199,,85,64,93,82,81,健康,王道,地势研究,5,威严男,威严男,63,,,徐庶,,,1
787,费祎,110,男,193,212,0,253,1,77,刘备,刘备,永安,永安,太守,光禄大夫,199,,85,54,91,99,95,健康,王道,改善岁出,5,恭敬男,恭敬男,0,,,费观,,,1
387,朱儁,267,男,149,184,199,195,0,88,曹操,曹操,濮阳,濮阳,普通,灭贼校尉,100,,84,63,70,71,75,健康,割据,火计研究,4,恭敬男,恭敬男,0,,,朱儁,,,1
144,华雄,8,男,155,184,186,190,1,1,董卓,董卓,长安,华雄,普通,安东将军,100,,84,93,58,41,57,轻症,我道,强化鱼鳞,5,勇将男,勇将男,75,,,华雄,,,1
1221,鲜卑王,1036,男,165,184,0,263,0,0,鲜卑王,鲜卑王,鲜卑,鲜卑,君主,无,250,,84,89,67,59,78,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,鲜卑王,,,0
1241,羌族族长,1021,男,165,184,0,263,0,0,羌族族长,羌族族长,羌,羌,君主,无,250,,84,90,65,62,79,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,羌族族长,,,0
1259,羌族元帅,1022,男,165,350,0,263,0,0,,,,,未登场,无,0,,84,93,65,61,81,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,羌族元帅,,,0
189,魏延,15,男,175,194,0,234,1,80,刘备,刘备,汉中,汉中,普通,平东将军,199,,84,92,70,46,39,健康,我道,工法改革,5,豪杰男,豪杰男,67,,黄忠,魏延,,,1
988,吕蒙,30,男,178,193,193,219,0,124,袁术,袁术,宛,宛,普通,牙门将军,100,,84,82,49,48,74,健康,霸道,工法改革,5,勇将男,勇将男,47,,,吕蒙,,,1
682,陈泰,199,男,210,224,0,260,0,28,,,许昌,许昌,未登场,无,0,,84,73,86,78,77,健康,王道,军制改革,4,恭敬男,恭敬男,0,,,陈群,陈群,,2
890,罗宪,655,男,218,237,0,270,0,76,,,襄阳,襄阳,未登场,无,0,,84,70,74,70,72,健康,王道,墨守研究,4,威严男,威严男,0,,,罗宪,,,1
773,马隆,1246,男,231,245,0,303,0,36,,,濮阳,濮阳,未登场,无,0,,84,68,78,64,66,健康,王道,地势研究,4,威严男,威严男,0,,,马隆,,,1
659,张宝,521,男,148,184,190,184,1,7,曹操,曹操,许昌,许昌,普通,奋武校尉,100,,83,71,81,66,86,健康,我道,地势研究,5,策士男,策士男,0,,,张角,,,1
1244,羌族精兵,1022,男,165,184,0,263,0,0,羌族族长,羌族族长,羌,羌,普通,无,255,,83,75,48,28,38,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,羌族精兵,,,0
1264,山越精兵,1020,男,165,184,0,263,0,0,山越头目,山越头目,山越,山越,普通,无,255,,83,75,43,31,39,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,山越精兵,,,0
1279,山越元帅,1020,男,165,350,0,263,0,0,,,,,未登场,无,0,,83,89,66,60,80,健康,我道,强化鱼鳞,1,自大男,自大男,0,,,山越元帅,,,0
904,李严,118,男,168,187,0,234,0,71,刘备,刘备,成都,成都,普通,平西将军,199,,83,85,76,75,53,健康,霸道,开发运输,4,自大男,自大男,0,,,李严,,,1
1403,姬琴,2111,女,170,184,0,239,0,0,,,,,死亡,无,0,,83,51,68,86,55,健康,王道,开发运输,5,普通女,普通女,255,,,姬琴,,,1
1582,兰托,5101,男,170,184,0,350,0,75,,,,,死亡,无,0,,83,90,58,51,78,健康,霸道,强化方圆,4,无效,粗鲁男,0,,,兰托,,,1
814,文聘,111,男,178,197,197,237,0,28,袁术,袁术,宛,宛,普通,从事祭酒,100,,83,82,66,68,70,健康,王道,扩张城墙,4,威严男,威严男,0,,,文聘,,,1
515,曹彰,21,男,190,204,204,223,0,25,曹操,曹操,濮阳,濮阳,普通,平南将军,100,,83,90,40,35,71,健康,我道,强化长蛇,4,豪杰男,豪杰男,41,,,曹操,曹操,卞氏,2
72,王平,152,男,192,216,0,248,0,69,,,梓潼,梓潼,未登场,无,0,,83,79,76,56,50,健康,割据,地势研究,4,普通男,普通男,0,,,王平,,,1
406,钟会,93,男,225,239,0,264,1,20,,,许昌,许昌,未登场,无,0,,83,51,91,79,62,健康,霸道,火计研究,5,自大男,自大男,90,,,钟繇,钟繇,张昌蒲,2
166,韩遂,83,男,142,184,184,215,1,48,马腾,马腾,安定,安定,普通,功曹,100,,82,72,77,64,78,健康,我道,火计研究,4,自大男,自大男,0,,韩遂,韩遂,,,1
191,麴义,259,男,146,184,189,191,1,99,袁绍,袁绍,平原,平原,普通,裨将军,100,,82,78,50,19,27,健康,我道,强化雁行,4,豪杰男,豪杰男,0,,,麴义,,,1
771,马腾,27,男,149,184,184,211,1,70,马腾,马腾,安定,安定,君主,无,250,,82,80,51,60,89,健康,割据,军制改革,4,威严男,威严男,97,,韩遂,马腾,,,1
625,张绣,160,男,154,184,184,207,1,148,董卓,张绣,天水,天水,都督,安西将军,100,,82,73,62,45,60,健康,割据,强化锥行,4,普通男,普通男,0,,,张绣,,,2
464,审配,96,男,156,184,189,204,1,101,袁绍,袁绍,北平,北平,普通,记室,120,,82,60,83,73,70,健康,我道,墨守研究,4,威严男,威严男,0,,,审配,,,1
740,蹋顿,714,男,158,184,200,207,1,99,袁绍,袁绍,北平,北平,普通,牙门将军,100,,82,81,52,34,55,健康,我道,强化锥行,4,自大男,自大男,0,,,丘力居,,,2
241,吴懿,85,男,165,185,188,237,0,69,刘备,刘备,汉中,汉中,普通,荡寇将军,189,,82,72,69,70,79,健康,王道,军制改革,4,威严男,威严男,0,,,吴匡,,,2
1284,南中精兵,1014,男,165,184,0,263,0,0,南中大王,南中大王,南中,南中,普通,无,255,,82,77,43,30,43,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,南中精兵,,,0
1063,札木合,977,男,170,184,0,268,1,6,,,,,死亡,无,0,,82,78,93,70,82,健康,霸道,上兵伐谋,3,自大男,自大男,0,,,札木合,,,0
134,贺齐,506,男,171,189,199,227,0,121,严白虎,严白虎,会稽,会稽,普通,劝学从事,100,,82,73,72,64,73,健康,霸道,强化兵器,4,豪杰男,豪杰男,0,,,贺齐,,,1
827,法正,113,男,176,195,195,220,0,72,刘备,刘备,汉中,汉中,普通,御史中丞,200,,82,47,94,78,57,健康,名利,火计研究,5,策士男,策士男,65,,,法正,,,1
428,徐荣,265,男,147,186,191,190,1,142,曹操,曹操,濮阳,濮阳,普通,裨将军,100,,81,74,62,43,45,健康,霸道,军制改革,4,豪杰男,豪杰男,0,,,徐荣,,,1
231,严颜,16,男,151,184,188,222,0,69,刘备,刘备,阳平关,阳平关,普通,平北将军,195,,81,82,69,68,77,健康,王道,强化雁行,4,威严男,威严男,0,,黄忠,严颜,,,1
35,袁绍,5,男,154,184,189,202,0,101,袁绍,袁绍,蓟,蓟,君主,无,250,,81,69,70,73,93,健康,王道,文事武备,3,自大男,自大男,78,刘氏,,袁绍,,,1
247,黄盖,19,男,154,184,184,218,0,127,孙坚,孙坚,长沙,长沙,普通,牙门将军,120,,81,84,68,65,81,健康,霸道,火计研究,4,豪杰男,豪杰男,49,,,黄盖,,,1
102,乐进,78,男,159,188,189,218,0,23,曹操,曹操,小沛,乐进,普通,讨逆将军,100,,81,84,53,51,65,健康,霸道,强化兵器,4,勇将男,勇将男,0,,,乐进,,,1
1204,乌桓精兵,1016,男,165,184,0,263,0,0,乌桓单于,乌桓单于,乌桓,乌桓,普通,无,255,,81,75,45,33,41,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,乌桓精兵,,,0
1254,羌族刚将,1022,男,165,350,0,263,0,0,,,,,未登场,无,0,,81,77,43,32,39,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,羌族刚将,,,0
830,庞德,28,男,170,184,184,219,1,65,马腾,马腾,安定,安定,普通,虎威将军,100,,81,94,71,44,70,健康,割据,工法改革,5,勇将男,勇将男,39,,,庞德,,,1
1042,庞涓,959,男,170,184,0,268,1,60,,,,,死亡,无,0,,81,70,83,71,62,健康,霸道,上兵伐谋,3,自大男,自大男,0,,,庞涓,,,0
997,鲁肃,123,男,172,191,191,217,0,124,张超,张超,吴,鲁肃,普通,治中从事,100,,81,56,92,93,89,健康,王道,纵横术,5,恭敬男,恭敬男,46,,,鲁肃,,,1
122,夏侯尚,207,男,181,199,199,225,0,24,曹操,曹操,许昌,许昌,普通,偏将军,100,,81,71,75,65,61,健康,割据,火计研究,4,威严男,威严男,0,,,夏侯惇,,,2
706,丁奉,189,男,190,207,0,271,0,123,,,庐江,庐江,未登场,无,0,,81,80,71,55,56,健康,王道,强化鱼鳞,4,勇将男,勇将男,0,,,丁奉,,,1
544,孙桓,214,男,197,216,0,228,0,127,,,吴,吴,未登场,无,0,,81,73,72,68,78,健康,霸道,扩张城墙,4,勇将男,勇将男,0,,,孙桓,孙河,,2
60,王濬,150,男,206,225,0,285,0,32,,,洛阳,洛阳,未登场,无,0,,81,73,78,71,76,健康,霸道,培养水军,4,威严男,威严男,0,,,王濬,,,1
201,丘力居,695,男,152,184,190,193,0,91,公孙度,公孙度,襄平,襄平,普通,书佐,100,,80,69,56,52,60,健康,霸道,强化长蛇,4,威严男,威严男,0,,,丘力居,,,1
601,张燕,384,男,153,184,190,210,0,8,张杨,张杨,壶关,壶关,普通,奋武校尉,100,,80,81,54,48,62,健康,我道,强化锥行,4,豪杰男,豪杰男,0,,,张燕,,,1
671,陈宫,104,男,154,184,189,198,1,143,曹操,曹操,小沛,陈宫,普通,簿曹从事,100,,80,55,89,83,70,健康,名利,火计研究,4,策士男,策士男,76,,,陈宫,,,1
1214,乌桓刚将,1016,男,165,350,0,263,0,0,,,,,未登场,无,0,,80,77,44,30,43,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,乌桓刚将,,,0
1274,山越刚将,1020,男,165,350,0,263,0,0,,,,,未登场,无,0,,80,73,46,28,40,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,山越刚将,,,0
1294,南中刚将,1014,男,165,350,0,263,0,0,,,,,未登场,无,0,,80,74,46,32,41,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,南中刚将,,,0
511,曹洪,47,男,169,188,189,232,0,24,曹操,曹操,濮阳,曹洪,普通,虎威将军,120,,80,81,44,35,54,健康,霸道,强化鱼鳞,4,自大男,自大男,0,,,曹操,,,1
683,陈登,220,男,169,188,188,207,0,79,陶谦,陶谦,下邳,下邳,普通,从事祭酒,100,,80,64,81,81,64,健康,名利,开发设施,4,威严男,威严男,0,,,陈珪,陈珪,,2
1030,田忌,947,男,170,184,0,268,0,135,,,,,死亡,无,0,,80,85,47,57,69,健康,割据,强化鱼鳞,6,豪杰男,豪杰男,0,,,田因齐,,,0
715,田豫,554,男,171,189,189,252,0,31,刘备,刘备,成都,成都,普通,治中从事,100,,80,72,81,78,76,健康,王道,军制改革,4,威严男,威严男,0,,,田豫,,,1
845,孟获,29,男,186,212,0,250,0,60,,,云南,云南,未登场,无,0,,80,87,42,45,80,健康,我道,军制改革,5,粗鲁男,粗鲁男,86,,,孟获,,,1
562,孙韶,375,男,188,207,0,241,0,124,,,吴,吴,未登场,无,0,,80,78,73,69,72,健康,我道,强化锥行,4,豪杰男,豪杰男,0,,,孙桓,,,2
726,陶璜,1240,男,232,246,0,290,0,120,,,建业,建业,未登场,无,0,,80,67,68,75,80,健康,王道,军制改革,4,威严男,威严男,0,,,陶濬,,,1
219,纪灵,155,男,155,184,189,199,1,140,袁术,袁术,宛,宛,普通,偏将军,100,,79,83,51,48,60,健康,霸道,强化鱼鳞,4,勇将男,勇将男,0,,,纪灵,,,1
535,沮授,100,男,156,184,189,201,1,96,韩馥,韩馥,邺,邺,普通,议曹从事,100,,79,35,90,92,76,健康,王道,军制改革,5,恭敬男,恭敬男,82,,,沮授,,,1
985,吕岱,141,男,161,184,198,256,0,130,刘表,刘表,江陵,江陵,普通,荡寇将军,100,,79,71,69,74,65,健康,王道,强化长蛇,3,威严男,威严男,0,,,吕岱,,,1
1234,鲜卑刚将,1037,男,165,350,0,263,0,0,,,,,未登场,无,0,,79,78,43,32,42,健康,我道,强化鱼鳞,1,勇将男,勇将男,0,,,鲜卑刚将,,,0
1046,剧辛,963,男,170,184,0,268,1,40,,,,,死亡,无,0,,79,87,41,35,40,健康,割据,强化长蛇,6,豪杰男,豪杰男,0,,,剧辛,,,0
389,朱然,346,男,182,196,196,249,0,126,孙坚,孙坚,建安,建安,普通,裨将军,100,,79,69,71,60,77,健康,王道,火计研究,3,勇将男,勇将男,0,,,朱治,朱治,,2
45,王基,204,男,190,219,0,261,0,30,,,北海,北海,未登场,无,0,,79,75,76,77,75,健康,王道,火计研究,4,威严男,威严男,0,,,王基,,,1
613,张嶷,217,男,190,209,0,254,1,68,,,成都,成都,未登场,无,0,,79,72,75,77,75,健康,王道,工法改革,3,勇将男,勇将男,0,,,张嶷,,,1
125,夏侯霸,80,男,202,216,0,262,1,23,,,许昌,许昌,未登场,无,0,,79,84,77,55,71,健康,霸道,强化鹤翼,4,勇将男,勇将男,0,,,夏侯惇,夏侯渊,,2
346,司马师,88,男,208,222,0,255,0,31,,,洛阳,洛阳,未登场,无,0,,79,64,88,84,81,健康,霸道,军制改革,4,自大男,自大男,93,,,司马懿,司马懿,张春华,2
664,张梁,522,男,153,184,190,184,1,7,曹操,曹操,小沛,张梁,普通,牙门将军,98,,78,80,70,53,82,健康,霸道,开发设施,4,豪杰男,豪杰男,0,,,张角,,,1
1216,乌桓骁将,1016,男,165,350,0,263,0,0,,,,,未登场,无,0,,78,81,14,38,57,健康,我道,强化鱼鳞,1,豪杰男,豪杰男,0,,,乌桓骁将,,,0
