序号,姓名,势力,军团,所属,所在,身分,官职,忠诚,功绩,统御,武力,智力,政治,魅力,五围和,体力,头像,性别,登场年,出生年,死亡年,死因,血缘,父亲,母亲,配偶,义兄弟,世代,相性,亲近武将,亲近武将,亲近武将,亲近武将,亲近武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,厌恶武将,登场预定君主,枪兵适性,戟兵适性,弩兵适性,骑兵适性,兵器适性,水军适性,枪兵经验,戟兵经验,弩兵经验,骑兵经验,兵器经验,水军经验,统率经验,武力经验,智力经验,政治经验,魅力经验,统御变动,武力变动,智力变动,政治变动,魅力变动,出身地,特技,舌战得意话题,义理,野望,起用,性格,音声,口调,汉室,战略倾向,地元执着,すけるとん,头盔,面部,上身,披风,护腕,下身,箭袋,パーツ,武器·左,武器·右,马,头像变更年龄,lp124,任务,任务对象,lp140_1,lp140_2,lp140_3,lp140_4,lp140_5,留守Counter,伤病,旧势力,仕官禁止君主,仕官禁止期间,捕虏月数Counter,年初功绩
10,田忌,齐小白,齐小白,临淄,临淄,一般,,120,2000,74,69,70,60,72,345,100,1209,男,210,190,289,自然死,4,,,,,5,67,孙膑,,,,,邹忌,,,,,,Ｂ,Ａ,Ａ,Ｂ,Ｂ,Ａ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,普通,普通,名声,冷静,冷静,普通,普通,州统一,临机应变,0,43,25,2,255,2,2,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
11,田单,齐小白,齐小白,临淄,临淄,一般,,120,2000,85,70,91,70,75,391,100,1210,男,210,190,289,自然死,4,,,,,5,66,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｂ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,火攻,时节,不会背叛,普通,实绩,冷静,冷静,普通,普通,州统一,重视,0,30,63,88,255,88,88,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
12,孙膑,齐小白,齐小白,临淄,临淄,一般,,120,2000,92,5,108,69,64,338,100,1211,男,210,190,289,自然死,4,,,,,5,66,田忌,,,,,庞涓,,,,,,Ａ,Ｓ,Ｓ,Ｂ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,虚实,道理,情理坚定,普通,能力,冷静,冷静,普通,普通,地方统一,临机应变,0,125,55,125,255,125,125,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
13,薛文,齐小白,齐小白,临淄,临淄,一般,,120,2000,59,54,77,73,94,357,100,1212,男,210,190,289,自然死,4,,,,,5,68,,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,名声,时节,普通,较高,名声,刚胆,刚胆,豪放,普通,州统一,临机应变,0,92,79,97,255,97,5,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
14,邹忌,齐小白,齐小白,临淄,临淄,一般,,120,2000,61,58,78,75,62,334,100,1213,男,150,130,229,自然死,14,,,,,1,63,,,,,,田忌,,,,,,Ｂ,Ｂ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,奏乐,时节,普通,普通,能力,小心,小心,殷勤,普通,地方统一,重视,0,21,79,107,255,107,107,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
15,邹衍,,,北平,北平,未发现,,0,0,19,24,82,82,67,274,100,1214,男,150,130,229,自然死,15,,,,,1,9,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,风水,道理,普通,普通,能力,小心,小心,殷勤,普通,地方统一,漫不经心,0,43,75,80,255,80,80,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
16,鲁仲连,,,临淄,临淄,未发现,,0,0,33,51,88,76,84,332,100,1215,男,150,130,229,自然死,16,,,,,1,62,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,论客,时节,不会背叛,低,义理,小心,小心,丁宁,普通,现状维持,漫不经心,0,92,97,98,255,98,98,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
17,孔丘,,,临淄,临淄,未发现,,0,0,65,65,86,100,120,436,100,1216,男,150,130,229,自然死,17,,,,,1,62,,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,不会背叛,较高,能力,刚胆,刚胆,威严,重视,中华统一,临机应变,0,30,20,89,255,89,89,255,255,255,255,255,255,240,,,,,,,,0,健康,,,0,0,0
18,袁绍,刘秀,刘秀,宛,宛,一般,,120,2000,66,67,71,72,80,356,100,5,男,150,130,229,自然死,18,,,,,1,67,,,,,,公孙瓒,董卓,,,,,Ｃ,Ａ,Ｂ,Ｂ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,,道理,普通,高,名声,刚胆,刚胆,尊大,普通,地方统一,临机应变,0,103,106,103,85,103,103,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
19,孟轲,,,临淄,临淄,未发现,,0,0,25,42,82,78,100,327,100,1217,男,150,130,229,自然死,19,,,,,1,62,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,不会背叛,普通,义理,刚胆,刚胆,普通,重视,中华统一,临机应变,0,83,43,98,255,98,98,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
20,墨翟,,,临淄,临淄,未发现,,0,0,66,60,85,73,102,386,100,1218,男,150,130,229,自然死,20,,,,,1,70,,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｓ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,时节,普通,普通,实绩,小心,小心,殷勤,无视,中华统一,临机应变,0,119,79,125,255,125,125,255,255,255,255,255,255,240,,,,,,,,0,健康,,,0,0,0
21,晋重耳,晋重耳,晋重耳,邺,邺,君主,,120,2000,69,62,71,84,95,381,100,1219,男,150,130,229,自然死,21,,,,,1,20,狐偃,赵衰,先轸,魏犨,,,,,,,,Ｃ,Ａ,Ｂ,Ｂ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,情理坚定,较高,任意,冷静,冷静,尊大,重视,地方统一,临机应变,0,43,43,94,94,94,94,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
22,狐偃,晋重耳,晋重耳,邺,邺,一般,,120,2000,67,54,89,89,79,378,100,2028,男,150,130,229,自然死,22,,,,,1,20,晋重耳,,,,,,,,,,,Ｃ,Ａ,Ｂ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,看破,故事,不会背叛,较低,能力,冷静,冷静,丁宁,普通,地方统一,临机应变,0,107,44,88,255,88,88,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
23,先轸,晋重耳,晋重耳,邺,邺,一般,,120,2000,93,79,87,62,65,386,100,1221,男,150,130,229,不自然死,23,,,,,1,21,晋重耳,,,,,,,,,,,Ｓ,Ｓ,Ｂ,Ａ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,待伏,时节,不会背叛,普通,实绩,刚胆,刚胆,威严,普通,地方统一,重视,0,30,79,94,76,76,8,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
24,淳于髡,齐小白,齐小白,临淄,临淄,一般,,120,2000,28,21,83,76,79,287,100,1202,男,150,130,229,自然死,24,,,,,1,68,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,故事,情理坚定,普通,义理,冷静,冷静,普通,普通,现状维持,临机应变,0,39,75,88,255,88,88,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
25,田骈,齐小白,齐小白,临淄,临淄,一般,,120,2000,36,33,79,81,73,302,100,1203,男,150,130,229,自然死,25,,,,,1,66,慎到,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,青徐,,道理,普通,普通,能力,冷静,冷静,普通,普通,州统一,重视,0,5,75,115,255,115,115,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
26,赵衰,晋重耳,晋重耳,邺,邺,一般,,120,2000,60,59,77,82,88,366,100,1222,男,150,130,229,自然死,26,,,,,1,22,晋重耳,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,辅佐,道理,不会背叛,较低,义理,冷静,冷静,殷勤,普通,州统一,临机应变,0,92,79,89,255,89,89,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
27,赵盾,晋重耳,晋重耳,邺,邺,一般,,120,2000,58,58,73,79,82,350,100,2082,男,165,145,244,自然死,26,赵衰,,,,2,22,韩厥,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,时节,普通,较高,任意,刚胆,刚胆,尊大,普通,州统一,重视,0,5,75,115,255,115,115,255,255,255,255,255,255,696,,,,,,,,0,健康,,,0,0,0
28,赵鞅,晋重耳,晋重耳,邺,邺,一般,,120,2000,66,61,80,85,85,377,100,1224,男,195,175,274,自然死,26,,,,,4,22,,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,築城,故事,情理坚定,较高,任意,小心,小心,殷勤,普通,州统一,重视,0,80,45,80,255,125,125,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
29,赵毋恤,晋重耳,晋重耳,邺,邺,一般,,120,2000,74,68,85,76,86,389,100,2006,男,210,190,289,自然死,26,赵鞅,,,,5,22,,,,,,,,,,,,Ｂ,Ａ,Ａ,Ａ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,沉著,道理,普通,较高,能力,冷静,冷静,威严,普通,地方统一,重视,0,101,76,93,255,93,93,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
30,张孟谈,,,邺,邺,未发现,,0,0,34,40,87,74,71,306,100,1226,男,150,130,229,自然死,30,,,,,1,21,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,论客,故事,情理坚定,低,能力,刚胆,刚胆,普通,普通,州统一,重视,0,5,74,107,255,89,89,255,255,255,255,255,255,240,,,,,,,,0,健康,,,0,0,0
31,赵雍,晋重耳,晋重耳,邺,邺,一般,,120,2000,89,78,66,68,69,370,100,1227,男,225,205,304,不自然死,26,,,,,6,22,,,,,,,,,,,,Ａ,Ｂ,Ｓ,Ｓ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,白马,道理,情理坚定,高,任意,猪突,莽撞,豪放,普通,中华统一,漫不经心,0,74,79,60,76,111,71,20,255,255,255,255,255,680,,,,,,,,0,健康,,,0,0,0
32,周访,,,寿春,寿春,未发现,,0,0,83,76,70,71,76,376,100,1873,男,150,130,229,自然死,32,,,,,1,28,陶侃,,,,,王敦,,,,,,Ｂ,Ａ,Ｂ,Ｂ,Ａ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,扬州,强袭,道理,不会背叛,普通,实绩,冷静,冷静,普通,重视,中华统一,重视,0,25,6,74,255,29,30,255,255,255,255,255,255,200,,,,,,,,0,健康,,,0,0,0
33,荀罃,晋重耳,晋重耳,邺,邺,一般,,120,2000,71,61,85,86,84,387,100,1228,男,165,145,244,自然死,776,,,,,2,21,韩厥,,,,,,,,,,,Ａ,Ａ,Ｃ,Ｃ,Ｂ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,妙计,故事,不会背叛,普通,义理,冷静,冷静,普通,普通,地方统一,重视,0,5,5,80,255,80,80,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
34,赵胜,晋重耳,晋重耳,邺,邺,一般,,120,2000,65,54,70,73,92,354,100,1229,男,225,205,304,自然死,26,,,,,6,22,魏无忌,,,,,,,,,,,Ｃ,Ｃ,Ａ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,名声,时节,情理坚定,普通,名声,小心,小心,普通,普通,现状维持,重视,0,49,47,49,255,49,49,255,255,255,255,255,255,608,,,,,,,,0,健康,,,0,0,0
35,赵奢,晋重耳,晋重耳,邺,邺,一般,,120,2000,90,75,74,78,80,397,100,1230,男,225,205,304,自然死,26,,,,,6,22,,,,,,,,,,,,Ａ,Ａ,Ｂ,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,强行,道理,情理坚定,普通,能力,刚胆,刚胆,普通,普通,地方统一,重视,0,84,88,0,121,0,0,255,255,255,255,255,255,680,,,,,,,,0,健康,,,0,0,0
36,廉颇,晋重耳,晋重耳,邺,邺,一般,,120,2000,94,87,65,55,73,374,100,1231,男,150,130,229,自然死,36,,,,,1,23,蔺相如,,,,,,,,,,,Ｓ,Ｓ+10%,Ａ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,幽州,,道理,情理坚定,普通,实绩,刚胆,刚胆,豪放,普通,地方统一,重视,0,61,61,51,76,51,4,255,255,255,1,255,255,552,,,,,,,,0,健康,,,0,0,0
37,王濬,司马懿,司马懿,寿春,寿春,一般,,120,2000,80,74,77,74,61,366,100,146,男,150,130,229,自然死,37,,,,,1,28,羊祜,,,,,,,,,,,Ｂ,Ｂ,Ａ,Ｃ,Ｓ,Ｓ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,司隶,造船,道理,普通,较高,能力,刚胆,刚胆,普通,普通,中华统一,临机应变,0,94,48,30,255,30,4,255,255,255,255,255,255,680,,,,,,,,0,健康,,,0,0,0
38,蔺相如,晋重耳,晋重耳,邺,邺,一般,,120,2000,61,44,89,82,86,362,100,1232,男,150,130,229,自然死,38,,,,,1,23,廉颇,,,,,,,,,,,Ｂ,Ｃ,Ｃ,Ｂ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,论客,时节,不会背叛,普通,实绩,刚胆,刚胆,普通,普通,地方统一,临机应变,0,1,55,115,255,115,115,255,255,255,255,255,255,760,,,,,,,,0,健康,,,0,0,0
39,庞煖,,,邺,邺,未发现,,0,0,83,49,76,72,66,346,100,1233,男,150,130,229,自然死,39,,,,,1,19,剧辛,,,,,,,,,,,Ｂ,Ａ,Ｓ,Ｂ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,待伏,时节,普通,普通,能力,冷静,冷静,普通,普通,地方统一,漫不经心,0,85,44,93,85,94,94,255,255,255,255,255,255,152,,,,,,,,0,健康,,,0,0,0
40,李牧,晋重耳,晋重耳,邺,邺,一般,,120,2000,99,76,77,66,65,383,100,1234,男,150,130,229,不自然死,40,,,,,1,23,,,,,,,,,,,,Ａ,Ｓ,Ｓ+10%,Ｓ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,时节,情理坚定,普通,能力,刚胆,刚胆,普通,普通,地方统一,重视,0,3,80,93,121,8,71,255,255,255,255,255,255,648,,,,,,,,0,健康,,,0,0,0
41,魏犨,晋重耳,晋重耳,邺,邺,一般,,120,2000,68,92,53,45,59,317,100,1235,男,150,130,229,自然死,41,,,,,1,18,晋重耳,,,,,,,,,,,Ｂ,Ａ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,金刚,时节,不会背叛,较低,实绩,猪突,莽撞,豪放,普通,现状维持,临机应变,0,30,38,92,255,93,6,255,255,255,3,255,255,520,,,,,,,,0,健康,,,0,0,0
42,魏绛,晋重耳,晋重耳,邺,邺,一般,,120,2000,75,73,69,82,79,378,100,1236,男,180,160,259,自然死,41,,,,,3,18,,,,,,,,,,,,Ａ,Ａ,Ａ,Ｂ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,道理,情理坚定,普通,能力,刚胆,刚胆,普通,普通,地方统一,重视,0,101,88,76,255,103,103,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
43,魏舒,晋重耳,晋重耳,邺,邺,一般,,120,2000,81,75,67,75,72,370,100,1237,男,210,190,289,自然死,41,,,,,5,18,,,,,,,,,,,,Ａ,Ｓ,Ａ,Ｃ,Ａ,Ｂ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,时节,情理坚定,普通,能力,冷静,冷静,普通,普通,地方统一,重视,0,43,80,92,255,93,92,255,255,255,255,255,255,616,,,,,,,,0,健康,,,0,0,0
44,魏斯,晋重耳,晋重耳,邺,邺,一般,,120,2000,56,51,82,92,96,377,100,1238,男,240,220,319,自然死,41,,,,,7,18,,,,,,,,,,,,Ｃ,Ｃ,Ｂ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,仁政,道理,情理坚定,较高,任意,冷静,冷静,威严,普通,地方统一,重视,0,5,55,5,255,5,5,255,255,255,255,255,255,744,,,,,,,,0,健康,,,0,0,0
45,魏无忌,晋重耳,晋重耳,邺,邺,一般,,120,2000,92,66,72,74,97,401,100,1239,男,255,235,334,自然死,41,,,,,8,18,赵胜,,,,,,,,,,,Ａ,Ｓ,Ａ,Ｂ,Ｓ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,名声,故事,情理坚定,较低,名声,冷静,冷静,豪放,普通,地方统一,重视,0,39,7,79,94,79,5,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
46,李悝,晋重耳,晋重耳,邺,邺,一般,,120,2000,32,41,77,99,65,314,100,1240,男,150,130,229,自然死,46,,,,,1,19,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,徵收,道理,情理坚定,普通,能力,冷静,冷静,丁宁,普通,地方统一,临机应变,0,5,79,106,255,79,79,255,255,255,255,255,255,752,,,,,,,,0,健康,,,0,0,0
47,西门豹,,,邺,邺,未发现,,0,0,65,53,85,84,86,373,100,1241,男,150,130,229,自然死,47,,,,,1,19,,,,,,,,,,,,Ｂ,Ｂ,Ｂ,Ｃ,Ｂ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,时节,情理坚定,普通,实绩,刚胆,刚胆,普通,普通,州统一,重视,0,92,93,97,255,97,97,255,255,255,255,255,255,248,,,,,,,,0,健康,,,0,0,0
48,翟璜,晋重耳,晋重耳,邺,邺,一般,,120,2000,46,55,79,83,74,337,100,1242,男,150,130,229,自然死,48,,,,,1,17,,,,,,,,,,,,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,兖予,眼力,道理,情理坚定,普通,能力,小心,小心,殷勤,普通,地方统一,临机应变,0,92,93,115,255,97,97,255,255,255,255,255,255,624,,,,,,,,0,健康,,,0,0,0
49,乐羊,,,邺,邺,未发现,,0,0,78,74,62,40,53,307,100,1243,男,150,130,229,自然死,49,,,,,1,16,,,,,,,,,,,,Ｂ,Ａ,Ｂ,Ｂ,Ａ,Ｃ,0,0,0,0,0,0,0,0,0,0,0,持续型,持续型,持续型,持续型,持续型,冀州,,时节,情理坚定,较高,能力,冷静,冷静,普通,普通,地方统一,漫不经心,0,101,98,94,255,4,4,255,255,255,255,255,255,168,,,,,,,,0,健康,,,0,0,0
