序号,名称,说明,等级,种类
36,弓将,对武力比自己低的敌方部队施展弩兵战法成功时会心一击,2,攻击
37,骑将,对武力比自己低的敌方部队施展骑兵战法成功时会心一击,2,攻击
38,水将,对武力比自己低的敌方部队施展水军战法成功时会心一击,2,攻击
39,勇将,对武力比自己低的敌方部队施展全战法成功时会心一击,3,攻击
40,神将,对武力比自己低的敌方部队施展一般攻击及战法成功时会心一击,4,攻击
41,鬥神,枪兵战法与戟兵战法施展成功时会心一击,3,攻击
42,枪神,枪兵战法成功时施展会心一击,3,攻击
43,戟神,戟兵战法成功时施展会心一击,3,攻击
44,弓神,弩兵战法成功时施展会心一击,3,攻击
45,骑神,骑兵战法成功时施展会心一击,3,攻击
46,工神,兵器战法成功时施展会心一击,3,攻击
47,水神,水军战法成功时施展会心一击,3,攻击
48,霸王,全战法成功时施展会心一击,4,攻击
49,疾驰,对攻击力比自部队低的敌方部队施展骑兵战法成功时，必使其陷入混乱,3,攻击
50,射手,可於森林使用弩兵战法,2,攻击
51,猛者,以战法让敌方部队移动区格时，可让敌将负伤,2,攻击
52,护卫,同部队的武将不会战死、负伤,2,防御
53,火攻,对智力比自己低的敌方部队施展部队计略「火计」时必定会成功,3,计略
54,言毒,对智力比自己低的敌方部队施展部队计略「伪报」时，必定会成功,3,计略
55,機智,对智力比自己低的敌方部队施展部队计略「擾乱」时，必定会成功,3,计略
56,诡计,对智力比自己低的敌方部队施展部队计略「内讧」时，必定会成功,3,计略
57,虚实,对智力比自己低的敌方部队施展全部队计略时，必定会成功,4,计略
58,妙计,对智力比自己低的敌方部队施展部队计略成功时会心一击,2,计略
59,秘计,对智力比自己高的敌方部队施展部队计略成功时会心一击,2,计略
60,看破,必定可识破智力比自己低的敌方部队所施展部队计略,3,计略
61,洞察,必定可识破敌方部队所施展的部队计略,4,计略
62,火神,对智力比自己低的敌方部队施展火计时必会成功；於全火攻有所優势,4,计略
63,神算,对智力比自己低的敌方部队施展计略必会成功；於全计略有所優势,4,计略
64,百出,部队计略的消费气力减少,4,计略
65,鬼谋,增广２区格可施展部队计略的範围,3,计略
66,连环,部队计略成功时，与对象部队邻接的部队也会遭受计略波及,3,计略
67,深谋,部队计略成功时施展会心一击,3,计略
68,反计,若识破部队计略，就可对其施展同样的计略,3,计略
69,奇谋,对部队施展部队计略成功率增为２倍,3,计略
70,妖术,可施展部队计略的「妖术」,3,计略
71,鬼门,可施展部队计略的「妖术、落雷」,4,计略
72,规律,可防止遭受部队计略「伪报」,2,补助
73,沉著,可防止遭受部队计略「擾乱」,2,补助
74,明镜,可防止遭受部队计略的「伪报、擾乱」,3,补助
75,奏乐,每回合回復自军部队的气力,3,补助
76,诗想,军乐台的回復气力效果增为２倍,2,补助
77,築城,军事设施建设的耐久上昇量增为２倍,2,补助
78,屯田,所属於关所、港口时，士兵不会消费兵粮,2,补助
79,名声,增加徵兵时的士兵数,2,内政
80,能吏,增加生产枪、戟、弩之兵装时的产量,2,内政
81,繁殖,增加生产军马之兵装时的产量,2,内政
82,发明,生产兵器之兵装时所需的生产期间减半,2,内政
83,造船,生产舰船之兵装时所需的生产期间减半,2,内政
84,指导,研究技巧时的费用减半,2,内政
85,眼力,若有未发现的在野人士时执行人材探索的话，必定会发现,2,内政
86,论客,於同盟、停战协定、交换俘虏时容易进入舌战,2,内政
87,富豪,每个月的所属都市的资金收入增为1.5倍,3,收入
88,米道,每季的所属都市的兵粮收入增加为1.5倍,3,收入
89,徵税,每回合所属都市都会有资金收入（一次收入将减半）,3,收入
90,徵收,每个月所属都市都会有兵粮的收入（一次的收入将减半）,3,收入
91,亲乌,所属都市的领内不会出现異族「乌丸」的根据地,2,灾害
92,亲羌,所属都市的领内不会出现異族「羌族」的根据地,2,灾害
93,亲越,所属都市的领内不会出现異族「山越」的根据地,2,灾害
94,亲蛮,所属都市的领内不会出现異族「南蛮」的根据地,2,灾害
95,威压,所属都市的领内不容易出现盗贼或異族的根据地,2,灾害
96,仁政,所属相同的武将之每个月的忠诚不会下降,2,灾害
97,风水,所属都市不容易出现蝗灾、瘟疫,2,灾害
98,祈願,所属都市容易出现豐收,2,灾害
99,内助,若结婚，双方的能力全部＋２,2,关系
